id	sym	A2058_Control_1_RNA	A2058_Control_2_RNA	A2058_Control_3_RNA	A2058_VitC_1_RNA	A2058_VitC_2_RNA	A2058_VitC_3_RNA
ENSG00000172264	MACROD2	99	82	29	36	68	51
ENSG00000172269	DPAGT1	1089	569	354	511	736	491
ENSG00000172270	BSG	6353	3415	1979	2938	3851	2276
ENSG00000172273	HINFP	487	320	200	307	413	277
ENSG00000172283	PRYP4	0	0	0	0	0	0
ENSG00000172288	CDY1	0	0	0	0	0	0
ENSG00000172289	OR10V1	0	0	0	0	0	1
ENSG00000172292	CERS6	4330	2808	1590	2933	3962	2241
ENSG00000172294	CSPG4P4Y	0	0	0	0	0	0
ENSG00000172296	SPTLC3	26	16	8	15	29	17
ENSG00000172297	GOLGA2P3Y	0	0	0	0	0	0
ENSG00000172301	COPRS	957	601	370	576	834	623
ENSG00000172315	TP53RK	1139	694	456	742	987	666
ENSG00000172318	B3GALT1	126	64	46	70	75	54
ENSG00000172320	OR5A1	0	0	0	0	0	0
ENSG00000172322	CLEC12A	2	1	3	1	0	5
ENSG00000172324	OR5A2	1	0	1	0	0	0
ENSG00000172331	BPGM	1342	786	439	1004	1132	804
ENSG00000172336	POP7	1008	623	395	528	820	459
ENSG00000172339	ALG14	771	439	300	435	491	295
ENSG00000172340	SUCLG2	5201	3466	1981	3320	4232	3146
ENSG00000172342	CSPG4P3Y	0	0	0	0	0	0
ENSG00000172345	STARD5	27	19	11	17	34	23
ENSG00000172346	CSDC2	0	1	0	0	2	1
ENSG00000172348	RCAN2	24	8	10	10	11	20
ENSG00000172349	IL16	144	120	67	100	132	85
ENSG00000172350	ABCG4	4	2	0	0	1	0
ENSG00000172352	CDY1B	0	0	0	0	0	0
ENSG00000172354	GNB2	1087	632	384	557	784	535
ENSG00000172361	CFAP53	47	40	23	29	27	6
ENSG00000172362	OR5B12	0	0	0	0	1	1
ENSG00000172365	OR5B2	0	0	0	0	0	0
ENSG00000172366	MCRIP2	407	236	143	194	267	128
ENSG00000172367	PDZD3	0	1	0	0	0	0
ENSG00000172375	C2CD2L	539	336	201	297	319	227
ENSG00000172377	OR9I1	0	0	0	0	2	0
ENSG00000172379	ARNT2	2905	2098	1113	1562	1916	1245
ENSG00000172380	GNG12	19176	12178	7226	11683	14746	9044
ENSG00000172382	PRSS27	25	15	4	6	11	10
ENSG00000172399	MYOZ2	35	27	23	18	29	27
ENSG00000172403	SYNPO2	131	77	53	106	95	108
ENSG00000172404	DNAJB7	1	3	0	0	1	2
ENSG00000172409	CLP1	885	566	308	477	739	450
ENSG00000172410	INSL5	0	0	0	0	0	0
ENSG00000172421	EFCAB3	3	0	0	2	4	0
ENSG00000172425	TTC36	15	11	4	13	10	6
ENSG00000172426	RSPH9	2	0	1	2	1	5
ENSG00000172428	COPS9	348	235	110	223	308	142
ENSG00000172432	GTPBP2	1586	825	584	818	1134	837
ENSG00000172456	FGGY	75	34	19	46	58	36
ENSG00000172457	OR9G4	0	0	0	0	0	0
ENSG00000172458	IL17D	214	140	86	125	125	64
ENSG00000172459	OR5AR1	0	0	0	0	0	0
ENSG00000172460	PRSS30P	0	0	0	0	0	0
ENSG00000172461	FUT9	4	15	0	5	9	11
ENSG00000172464	OR5AP2	2	0	0	0	0	0
ENSG00000172465	TCEAL1	643	358	245	417	601	441
ENSG00000172466	ZNF24	13515	8837	5224	8781	11250	7070
ENSG00000172468	HSFY1	0	0	0	0	0	0
ENSG00000172469	MANEA	2746	1685	942	1992	2374	1365
ENSG00000172476	RAB40A	4	5	2	3	2	4
ENSG00000172478	C2orf54	0	1	0	0	0	0
ENSG00000172482	AGXT	0	0	1	0	0	2
ENSG00000172487	OR8J1	0	0	0	0	0	0
ENSG00000172489	OR5T3	0	0	0	0	0	0
ENSG00000172493	AFF1	2956	2061	1173	2212	2697	1560
ENSG00000172497	ACOT12	3	5	4	3	4	6
ENSG00000172500	FIBP	1496	869	483	864	1057	733
ENSG00000172508	CARNS1	3	1	1	3	3	1
ENSG00000172519	OR10H5	1	0	0	0	0	0
ENSG00000172530	BANP	549	361	199	322	482	270
ENSG00000172531	PPP1CA	2502	1468	898	1471	2024	1678
ENSG00000172534	HCFC1	3753	2464	1446	2148	2650	1420
ENSG00000172538	FAM170B	0	0	0	0	0	0
ENSG00000172543	CTSW	8	14	8	7	10	13
ENSG00000172548	NIPAL4	1	2	0	1	0	1
ENSG00000172551	MUCL1	1	1	0	1	2	2
ENSG00000172554	SNTG2	0	0	1	0	1	0
ENSG00000172568	FNDC9	2	0	0	0	0	4
ENSG00000172572	PDE3A	28573	19515	11515	17622	22006	13141
ENSG00000172575	RASGRP1	372	239	132	150	206	139
ENSG00000172578	KLHL6	2	6	0	4	3	7
ENSG00000172586	CHCHD1	811	495	287	424	525	414
ENSG00000172590	MRPL52	1275	789	484	737	984	732
ENSG00000172594	SMPDL3A	1842	1253	812	1268	1697	1049
ENSG00000172602	RND1	2	4	2	5	8	1
ENSG00000172613	RAD9A	210	116	70	138	166	85
ENSG00000172638	EFEMP2	68	50	29	66	84	63
ENSG00000172640	OR10AD1	1	1	0	0	1	2
ENSG00000172650	AGAP5	3	2	0	1	7	2
ENSG00000172661	FAM21C	2156	1356	838	1378	1732	1096
ENSG00000172663	TMEM134	36	27	10	15	35	11
ENSG00000172667	ZMAT3	1783	1238	708	1426	1601	898
ENSG00000172671	ZFAND4	112	82	43	99	132	81
ENSG00000172673	THEMIS	0	0	0	0	4	0
ENSG00000172680	MOS	0	0	0	0	1	0
ENSG00000172687	ZNF738	169	97	68	129	154	84
ENSG00000172689	MS4A10	0	1	0	0	0	1
ENSG00000172716	SLFN11	4	3	2	4	6	4
ENSG00000172717	FAM71D	8	3	0	1	6	10
ENSG00000172724	CCL19	0	0	0	0	0	0
ENSG00000172725	CORO1B	1410	831	535	909	1228	780
ENSG00000172728	FUT10	1392	927	493	816	981	703
ENSG00000172731	LRRC20	296	165	95	121	151	71
ENSG00000172732	MUS81	983	595	399	612	894	536
ENSG00000172733	PURG	25	28	14	18	19	13
ENSG00000172738	TMEM217	11	6	6	10	13	5
ENSG00000172742	OR4D9	0	0	0	0	0	0
ENSG00000172746	RPL12P13	1	4	1	0	2	5
ENSG00000172748	ZNF596	97	43	24	54	88	54
ENSG00000172752	COL6A5	11	8	4	4	6	10
ENSG00000172757	CFL1	14270	9053	5252	7954	10906	8120
ENSG00000172765	TMCC1	930	515	361	571	709	445
ENSG00000172766	NAA16	2194	1359	837	1230	1650	996
ENSG00000172769	OR5B3	0	0	0	0	0	0
ENSG00000172771	EFCAB12	2	2	0	2	1	2
ENSG00000172772	OR10W1	0	0	0	0	0	0
ENSG00000172775	FAM192A	4607	3183	1958	2717	3576	2588
ENSG00000172780	RAB43	57	40	16	30	39	16
ENSG00000172782	FADS6	0	0	0	0	0	0
ENSG00000172785	CBWD1	1115	717	432	729	923	599
ENSG00000172789	HOXC5	8	4	3	8	3	1
ENSG00000172794	RAB37	1	3	0	2	2	0
ENSG00000172795	DCP2	6964	4562	2688	4464	5736	3496
ENSG00000172799	ZBTB8OSP2	5	2	2	1	2	8
ENSG00000172803	SNX32	36	56	32	63	79	24
ENSG00000172809	RPL38	25092	17987	11024	15097	18853	12549
ENSG00000172817	CYP7B1	355	227	160	465	524	314
ENSG00000172818	OVOL1	0	0	1	2	0	1
ENSG00000172819	RARG	657	427	246	435	544	299
ENSG00000172824	CES4A	0	0	1	0	2	1
ENSG00000172828	CES3	15	2	1	1	4	5
ENSG00000172830	SSH3	183	88	61	107	149	120
ENSG00000172831	CES2	724	503	296	390	544	397
ENSG00000172840	PDP2	1519	1037	635	933	1043	618
ENSG00000172845	SP3	8922	5662	3341	6011	7514	4660
ENSG00000172867	KRT2	0	2	0	0	1	2
ENSG00000172869	DMXL1	4737	3309	1843	3407	4684	2904
ENSG00000172878	METAP1D	632	429	224	368	532	313
ENSG00000172888	ZNF621	1275	785	479	828	998	705
ENSG00000172889	EGFL7	233	126	76	101	105	97
ENSG00000172890	NADSYN1	787	472	253	418	617	334
ENSG00000172893	DHCR7	1079	629	392	642	821	447
ENSG00000172900	FLJ42102	0	0	2	0	2	2
ENSG00000172901	LVRN	36	21	15	26	33	20
ENSG00000172912	COX6B1P3	0	0	0	1	0	0
ENSG00000172915	NBEA	3759	2614	1292	2709	3475	1943
ENSG00000172922	RNASEH2C	692	487	272	384	599	433
ENSG00000172927	MYEOV	17	14	10	19	31	17
ENSG00000172932	ANKRD13D	646	354	221	386	539	337
ENSG00000172935	MRGPRF	2	0	0	1	0	1
ENSG00000172936	MYD88	470	332	185	286	311	124
ENSG00000172938	MRGPRD	0	0	0	0	0	0
ENSG00000172939	OXSR1	6906	4440	2727	3866	4852	3155
ENSG00000172940	SLC22A13	3	4	0	0	5	0
ENSG00000172943	PHF8	981	591	357	625	730	522
ENSG00000172954	LCLAT1	2551	1740	1002	1438	1817	1001
ENSG00000172955	ADH6	2	1	1	2	2	4
ENSG00000172965	MIR4435-2HG	905	587	344	501	657	467
ENSG00000172967	XKR3	3	0	0	0	0	1
ENSG00000172969	FRG2C	2	3	1	0	2	1
ENSG00000172971	UNC93B3	0	0	0	0	0	0
ENSG00000172974	AC007318.5	888	469	299	452	561	379
ENSG00000172977	KAT5	1029	584	370	577	752	448
ENSG00000172985	SH3RF3	563	415	238	326	401	207
ENSG00000172986	GXYLT2	1877	1294	699	1214	1451	832
ENSG00000172987	HPSE2	49	29	22	33	32	25
ENSG00000172992	DCAKD	820	541	338	413	555	378
ENSG00000172995	ARPP21	2	8	0	3	1	9
ENSG00000173011	TADA2B	709	509	271	494	588	388
ENSG00000173013	CCDC96	26	9	6	11	9	9
ENSG00000173020	GRK2	1249	878	505	809	1161	715
ENSG00000173039	RELA	978	618	406	495	724	497
ENSG00000173040	EVC2	862	550	275	551	778	498
ENSG00000173041	ZNF680	1493	1037	515	1015	1161	763
ENSG00000173064	HECTD4	1751	1325	721	1118	1360	732
ENSG00000173065	FAM222B	556	390	201	289	343	204
ENSG00000173068	BNC2	3603	2696	1458	2561	3098	1935
ENSG00000173077	DEC1	9	8	9	12	8	16
ENSG00000173080	RXFP4	0	2	1	0	4	0
ENSG00000173083	HPSE	632	376	240	511	617	435
ENSG00000173085	COQ2	1014	616	300	666	839	575
ENSG00000173093	CCDC63	1	0	1	0	0	1
ENSG00000173110	HSPA6	44	23	6	17	33	20
ENSG00000173113	TRMT112	3368	1917	1153	1965	2870	2399
ENSG00000173114	LRRN3	4	3	0	4	4	14
ENSG00000173120	KDM2A	3631	2426	1371	2106	2649	1727
ENSG00000173124	ACSM6	0	4	1	3	0	0
ENSG00000173137	ADCK5	136	63	53	77	120	80
ENSG00000173141	MRPL57	1636	969	588	924	1285	820
ENSG00000173145	NOC3L	7644	5103	3029	5007	6356	4453
ENSG00000173153	ESRRA	976	538	360	586	667	456
ENSG00000173156	RHOD	104	53	32	58	65	56
ENSG00000173157	ADAMTS20	12	15	4	13	14	17
ENSG00000173163	COMMD1	822	549	341	540	678	409
ENSG00000173166	RAPH1	2004	1336	762	1308	1699	969
ENSG00000173171	MTX1	411	322	194	289	419	239
ENSG00000173175	ADCY5	2	3	0	1	3	0
ENSG00000173193	PARP14	5024	3311	2002	4044	4823	2962
ENSG00000173198	CYSLTR1	3	1	1	3	2	4
ENSG00000173200	PARP15	3	2	0	0	3	7
ENSG00000173207	CKS1B	1313	747	439	709	943	638
ENSG00000173208	ABCD2	27	17	9	21	20	8
ENSG00000173209	AHSA2	1608	924	613	911	1299	686
ENSG00000173210	ABLIM3	128	107	61	82	81	74
ENSG00000173212	MAB21L3	6	4	0	1	1	3
ENSG00000173213	TUBB8P12	3	1	1	0	1	1
ENSG00000173214	MFSD4B	1202	825	511	785	1065	642
ENSG00000173218	VANGL1	2445	1515	897	1585	2100	1259
ENSG00000173221	GLRX	490	392	212	383	459	286
ENSG00000173226	IQCB1	1393	1022	575	865	1110	684
ENSG00000173227	SYT12	10	4	3	6	8	4
ENSG00000173230	GOLGB1	15638	10635	6559	9781	11759	7090
ENSG00000173231	TERF1P1	0	0	0	1	0	0
ENSG00000173237	C11orf86	0	0	0	0	0	0
ENSG00000173239	LIPM	1	0	0	0	0	3
ENSG00000173250	GPR151	1	0	0	0	0	0
ENSG00000173253	DMRT2	7	10	3	5	7	3
ENSG00000173258	ZNF483	741	423	285	491	552	339
ENSG00000173261	PLAC8L1	35	12	18	8	22	18
ENSG00000173262	SLC2A14	23	13	8	14	16	16
ENSG00000173264	GPR137	261	181	105	135	191	116
ENSG00000173267	SNCG	6	2	3	4	8	8
ENSG00000173269	MMRN2	0	0	0	0	3	5
ENSG00000173272	MZT2A	325	197	87	152	222	163
ENSG00000173273	TNKS	5957	4005	2154	3604	4502	2831
ENSG00000173275	ZNF449	439	291	153	271	435	266
ENSG00000173276	ZBTB21	1262	909	480	810	920	570
ENSG00000173281	PPP1R3B	1518	940	570	1161	1466	933
ENSG00000173285	OR10K1	0	1	1	0	1	1
ENSG00000173295	FAM86B3P	146	71	50	57	97	50
ENSG00000173302	GPR148	0	0	0	0	0	0
ENSG00000173320	STOX2	588	370	224	349	446	247
ENSG00000173327	MAP3K11	1885	1113	655	1189	1526	895
ENSG00000173334	TRIB1	2751	1704	982	1494	2012	1207
ENSG00000173335	CST9	0	1	1	0	0	0
ENSG00000173338	KCNK7	2	1	0	0	0	1
ENSG00000173349	SFT2D3	675	443	279	473	670	389
ENSG00000173357	AC007967.3	0	0	0	0	0	0
ENSG00000173366	RP11-330H6.5	0	0	0	0	0	0
ENSG00000173369	C1QB	0	1	0	1	0	0
ENSG00000173372	C1QA	0	0	0	0	0	0
ENSG00000173376	NDNF	650	438	301	430	759	305
ENSG00000173389	IQCF1	1	1	0	0	0	0
ENSG00000173391	OLR1	1	2	1	0	4	3
ENSG00000173401	GLIPR1L1	1	1	0	0	0	1
ENSG00000173402	DAG1	8542	5697	3335	4517	6108	3632
ENSG00000173404	INSM1	0	0	0	1	1	0
ENSG00000173406	DAB1	5	3	2	2	0	2
ENSG00000173409	ARV1	2298	1528	971	1389	1726	1267
ENSG00000173418	NAA20	2383	1500	912	1530	1751	1257
ENSG00000173421	CCDC36	0	1	0	1	1	2
ENSG00000173431	RNASE8	0	1	0	0	0	2
ENSG00000173432	SAA1	94	54	46	98	113	89
ENSG00000173436	MINOS1	413	319	171	223	344	235
ENSG00000173442	EHBP1L1	3665	2517	1544	2490	2859	1911
ENSG00000173451	THAP2	321	198	129	250	276	166
ENSG00000173452	TMEM196	1	0	1	6	3	8
ENSG00000173456	RNF26	321	222	100	166	182	137
ENSG00000173457	PPP1R14B	2691	1757	1057	1569	1997	1519
ENSG00000173464	RNASE11	0	1	0	0	0	2
ENSG00000173465	SSSCA1	400	261	134	203	286	219
ENSG00000173467	AGR3	1	0	0	0	2	1
ENSG00000173473	SMARCC1	12160	8282	5048	7365	9264	6153
ENSG00000173480	ZNF417	366	242	127	248	310	172
ENSG00000173482	PTPRM	3631	2243	1451	2152	2856	1821
ENSG00000173486	FKBP2	2808	1696	1160	1386	1655	721
ENSG00000173511	VEGFB	1734	1090	686	1143	1402	1002
ENSG00000173517	PEAK1	2926	1992	1091	1782	2153	1213
ENSG00000173530	TNFRSF10D	0	2	1	0	1	1
ENSG00000173531	MST1	45	18	9	14	19	17
ENSG00000173535	TNFRSF10C	229	95	80	116	125	74
ENSG00000173540	GMPPB	638	412	284	426	565	363
ENSG00000173542	MOB1B	5881	4157	2225	4423	5237	2838
ENSG00000173545	ZNF622	4721	2813	1756	2964	3688	2490
ENSG00000173546	CSPG4	13504	8206	4892	8257	11202	6468
ENSG00000173548	SNX33	659	450	258	411	586	367
ENSG00000173557	C2orf70	6	7	6	7	15	7
ENSG00000173559	NABP1	1540	989	571	921	1154	751
ENSG00000173567	ADGRF3	17	9	3	9	6	6
ENSG00000173572	NLRP13	3	1	1	0	1	0
ENSG00000173578	XCR1	0	2	0	0	0	0
ENSG00000173581	CCDC106	270	204	129	145	163	101
ENSG00000173585	CCR9	0	0	0	0	0	0
ENSG00000173588	CEP83	1131	752	427	786	1038	670
ENSG00000173597	SULT1B1	10	9	5	7	7	12
ENSG00000173598	NUDT4	3151	1996	1168	1952	2352	1477
ENSG00000173599	PC	925	587	327	542	729	479
ENSG00000173610	UGT2A1	0	0	1	1	0	1
ENSG00000173611	SCAI	607	425	206	393	517	287
ENSG00000173612	GPRC6A	0	1	0	0	0	6
ENSG00000173614	NMNAT1	750	504	296	465	606	317
ENSG00000173621	LRFN4	161	95	50	85	124	81
ENSG00000173626	TRAPPC3L	46	30	15	13	13	14
ENSG00000173627	APOBEC4	2	0	0	1	4	2
ENSG00000173638	SLC19A1	694	394	245	407	558	285
ENSG00000173641	HSPB7	1	0	0	0	0	1
ENSG00000173653	RCE1	106	55	34	64	104	62
ENSG00000173660	UQCRH	10707	7796	5189	6552	7944	6935
ENSG00000173662	TAS1R1	0	4	0	1	0	0
ENSG00000173673	HES3	1	0	0	1	0	1
ENSG00000173674	EIF1AX	7017	4488	2822	4278	5076	3357
ENSG00000173678	SPDYE2B	0	0	0	0	0	1
ENSG00000173679	OR1L1	0	0	0	0	0	2
ENSG00000173681	CXorf23	520	328	208	356	456	280
ENSG00000173692	PSMD1	14081	9183	5516	8132	10119	7083
ENSG00000173698	ADGRG2	1	2	1	2	1	4
ENSG00000173699	SPATA3	0	0	0	1	0	2
ENSG00000173702	MUC13	11	8	10	10	12	12
ENSG00000173705	SUSD5	60	48	37	34	40	32
ENSG00000173706	HEG1	4141	2796	1573	2496	3018	1664
ENSG00000173714	WFIKKN2	0	0	0	0	1	0
ENSG00000173715	C11orf80	328	226	125	219	305	163
ENSG00000173726	TOMM20	18898	12054	7226	11872	14914	9356
ENSG00000173727	CMB9-22P13.1	372	253	171	229	365	162
ENSG00000173728	C1orf100	1	3	0	0	3	1
ENSG00000173744	AGFG1	4478	2795	1654	2317	3133	1658
ENSG00000173757	STAT5B	2007	1336	769	1188	1587	1038
ENSG00000173762	CD7	0	0	0	0	0	0
ENSG00000173769	TOPAZ1	0	6	1	0	5	6
ENSG00000173786	CNP	7535	4830	2804	4439	5761	3372
ENSG00000173801	JUP	94	49	15	37	47	25
ENSG00000173805	HAP1	4	2	3	2	4	2
ENSG00000173809	TDRD12	2	6	3	4	7	8
ENSG00000173810	PPIAP7	1	0	0	0	0	0
ENSG00000173811	CCDC13-AS1	4	6	4	2	3	1
ENSG00000173812	EIF1	4102	2496	1376	2537	3037	1599
ENSG00000173818	ENDOV	252	148	110	79	139	104
ENSG00000173821	RNF213	15620	10299	5976	10609	13346	7699
ENSG00000173825	TIGD3	31	9	13	16	12	8
ENSG00000173826	KCNH6	1	0	0	0	0	0
ENSG00000173838	MARCH10	33	20	9	22	45	29
ENSG00000173846	PLK3	116	69	33	62	84	70
ENSG00000173848	NET1	4586	2941	1715	2901	3708	2337
ENSG00000173852	DPY19L1	14574	9345	5360	8299	11332	6735
ENSG00000173862	RP11-89N17.1	3	0	1	2	6	5
ENSG00000173867	RP11-97O12.7	4	4	2	1	3	3
ENSG00000173868	PHOSPHO1	1	2	0	0	0	1
ENSG00000173875	ZNF791	1841	1143	726	1085	1390	749
ENSG00000173889	PHC3	4668	3272	1831	3507	4364	2445
ENSG00000173890	GPR160	329	200	135	187	257	130
ENSG00000173894	CBX2	1103	713	451	674	797	515
ENSG00000173898	SPTBN2	7293	4517	2565	4496	5570	3623
ENSG00000173905	GOLIM4	9035	6203	3693	5929	7299	4664
ENSG00000173908	KRT28	1	0	0	0	0	1
ENSG00000173914	RBM4B	714	397	309	481	565	359
ENSG00000173915	USMG5	5779	3721	2475	3423	4786	2265
ENSG00000173917	HOXB2	572	363	205	364	466	313
ENSG00000173918	C1QTNF1	289	184	128	261	334	213
ENSG00000173926	MARCH3	39	28	11	22	34	17
ENSG00000173928	SWSAP1	36	22	8	13	21	13
ENSG00000173930	SLCO4C1	46	41	17	34	50	22
ENSG00000173933	RBM4	194	138	89	134	172	86
ENSG00000173947	PIFO	1	1	0	0	5	5
ENSG00000173950	XXYLT1	1673	1120	716	933	1253	708
ENSG00000173954	SNURFL	0	0	0	0	0	0
ENSG00000173960	UBXN2A	2986	2037	1115	1960	2351	1446
ENSG00000173966	RP11-18M17.1	0	0	0	0	1	0
ENSG00000173976	RAX2	0	0	0	0	0	0
ENSG00000173988	LRRC63	52	49	20	50	74	50
ENSG00000173991	TCAP	38	15	12	15	12	19
ENSG00000173992	CCS	247	152	75	175	197	121
ENSG00000174004	NRROS	126	87	59	78	107	62
ENSG00000174007	CEP19	562	311	239	324	399	240
ENSG00000174010	KLHL15	2083	1340	716	1352	1715	1130
ENSG00000174013	FBXO45	4156	2730	1595	2514	3146	2023
ENSG00000174015	SPERT	0	0	0	0	0	0
ENSG00000174016	FAM46D	8	6	2	4	4	5
ENSG00000174021	GNG5	533	342	228	321	393	250
ENSG00000174028	FAM3C2	2846	1983	1243	1700	1977	1046
ENSG00000174032	SLC25A30	1033	633	364	663	778	532
ENSG00000174038	C9orf131	3	0	1	1	0	3
ENSG00000174059	CD34	3	4	6	3	2	5
ENSG00000174080	CTSF	631	421	245	303	453	317
ENSG00000174099	MSRB3	2517	1601	921	1635	1997	1215
ENSG00000174106	LEMD3	2170	1378	802	1376	1786	1163
ENSG00000174109	C16orf91	406	198	177	213	322	222
ENSG00000174123	TLR10	1	4	1	2	5	0
ENSG00000174125	TLR1	361	253	160	225	325	202
ENSG00000174130	TLR6	985	615	347	560	657	477
ENSG00000174132	FAM174A	788	495	306	536	625	382
ENSG00000174136	RGMB	1239	840	476	746	891	530
ENSG00000174137	FAM53A	39	25	14	22	16	12
ENSG00000174145	NWD2	3	2	1	2	1	6
ENSG00000174151	CYB561D1	226	130	57	152	209	164
ENSG00000174156	GSTA3	0	0	0	0	0	2
ENSG00000174165	ZDHHC24	301	176	146	178	229	165
ENSG00000174171	RP11-23P13.6	0	0	1	1	1	1
ENSG00000174173	TRMT10C	6139	3763	2371	3297	4167	3147
ENSG00000174175	SELP	1	4	1	2	1	3
ENSG00000174177	CTU2	237	150	85	174	175	121
ENSG00000174197	MGA	11328	7829	4553	6915	9071	5546
ENSG00000174206	C12orf66	687	448	247	376	529	303
ENSG00000174225	ARL13A	0	1	0	0	1	0
ENSG00000174226	SNX31	4	6	3	2	0	3
ENSG00000174227	PIGG	2267	1417	873	1279	1830	1189
ENSG00000174231	PRPF8	20915	13131	7695	10430	12398	6742
ENSG00000174233	ADCY6	983	641	383	567	771	454
ENSG00000174236	REP15	49	36	14	34	39	34
ENSG00000174238	PITPNA	5033	3335	2082	2832	3451	2383
ENSG00000174243	DDX23	8119	5124	3322	4850	5810	4018
ENSG00000174255	ZNF80	2	1	0	0	1	1
ENSG00000174276	ZNHIT2	151	62	49	61	112	52
ENSG00000174279	EVX2	7	10	1	2	0	1
ENSG00000174282	ZBTB4	2030	1304	838	1269	1589	1049
ENSG00000174292	TNK1	111	44	33	52	69	49
ENSG00000174306	ZHX3	1366	804	500	757	1044	622
ENSG00000174307	PHLDA3	581	350	199	354	478	355
ENSG00000174325	DIRC1	0	1	0	2	1	2
ENSG00000174326	SLC16A11	0	0	0	0	0	1
ENSG00000174327	SLC16A13	69	32	23	25	22	14
ENSG00000174332	GLIS1	8	5	3	10	10	9
ENSG00000174339	OR2Y1	1	0	0	0	0	1
ENSG00000174343	CHRNA9	32	16	11	20	23	15
ENSG00000174348	PODN	2	1	0	0	0	2
ENSG00000174353	STAG3L3	238	119	77	117	145	105
ENSG00000174358	SLC6A19	2	1	0	0	0	1
ENSG00000174365	SNHG11	134	71	39	48	81	54
ENSG00000174370	C11orf45	35	15	25	12	18	16
ENSG00000174371	EXO1	6256	4111	2442	4223	5382	3338
ENSG00000174373	RALGAPA1	3261	2181	1205	2113	2692	1481
ENSG00000174384	RP11-313P13.4	0	0	0	0	2	0
ENSG00000174403	C20orf166-AS1	439	234	145	119	160	101
ENSG00000174405	LIG4	4583	3017	1735	2974	3582	2315
ENSG00000174407	MIR1-1HG	3	0	0	2	2	0
ENSG00000174408	PPIAP24	0	1	0	0	0	0
ENSG00000174417	TRHR	2	2	0	1	0	3
ENSG00000174418	RPL35P9	0	0	0	0	1	0
ENSG00000174428	GTF2IRD2B	149	68	39	74	94	63
ENSG00000174429	ABRA	1	1	0	0	0	0
ENSG00000174437	ATP2A2	13208	8562	4587	8031	10001	5888
ENSG00000174442	ZWILCH	4634	3042	1873	2714	3460	2155
ENSG00000174444	RPL4	49382	32152	19773	30321	37422	24921
ENSG00000174446	SNAPC5	1400	803	536	983	1083	766
ENSG00000174448	STARD6	2	0	0	2	7	2
ENSG00000174450	GOLGA6L2	0	1	0	1	1	0
ENSG00000174453	VWC2L	5	3	0	3	3	9
ENSG00000174456	C12orf76	525	345	237	347	451	276
ENSG00000174460	ZCCHC12	2	3	0	5	5	0
ENSG00000174469	CNTNAP2	4	4	1	3	5	12
ENSG00000174473	GALNTL6	15	13	7	6	8	15
ENSG00000174482	LINGO2	509	298	201	312	441	270
ENSG00000174483	BBS1	45	36	21	24	53	29
ENSG00000174485	DENND4A	1885	1298	749	1245	1570	895
ENSG00000174495	AC005017.2	0	0	0	0	0	0
ENSG00000174498	IGDCC3	0	2	1	1	2	0
ENSG00000174500	GCSAM	1	0	0	3	3	2
ENSG00000174501	ANKRD36C	1223	769	456	675	940	578
ENSG00000174502	SLC26A9	8	1	1	2	0	7
ENSG00000174514	MFSD4A	13	9	9	9	13	8
ENSG00000174516	PELI3	197	125	79	81	136	86
ENSG00000174521	TTC9B	0	0	0	2	1	1
ENSG00000174527	MYO1H	3	3	0	0	4	4
ENSG00000174529	TMEM81	105	64	34	58	99	56
ENSG00000174547	MRPL11	898	669	391	535	757	461
ENSG00000174562	KLK15	0	0	0	0	1	0
ENSG00000174564	IL20RB	68	41	28	36	26	33
ENSG00000174567	GOLT1A	0	0	0	0	0	1
ENSG00000174572	RP11-209A2.1	0	0	0	0	0	0
ENSG00000174574	AKIRIN1	2557	1510	902	1441	1846	1072
ENSG00000174576	NPAS4	1	1	0	0	0	0
ENSG00000174579	MSL2	1284	904	483	873	1019	595
ENSG00000174586	ZNF497	24	16	17	19	29	13
ENSG00000174599	TRAM1L1	256	129	90	161	205	150
ENSG00000174600	CMKLR1	10	6	1	3	1	2
ENSG00000174606	ANGEL2	4549	2906	1732	2936	3665	2431
ENSG00000174607	UGT8	5036	3117	1849	2820	3792	2376
ENSG00000174611	KY	0	1	0	0	2	1
ENSG00000174628	IQCK	486	279	183	299	337	191
ENSG00000174640	SLCO2A1	1	0	0	3	1	2
ENSG00000174652	ZNF266	408	269	171	250	334	200
ENSG00000174667	OR7D4	0	0	0	0	0	1
ENSG00000174669	SLC29A2	45	38	13	22	26	12
ENSG00000174672	BRSK2	269	181	124	65	63	49
ENSG00000174677	VN1R6P	0	0	0	0	0	0
ENSG00000174678	FAM47DP	0	0	0	0	0	0
ENSG00000174680	GRIK1-AS1	11	5	4	1	6	3
ENSG00000174684	B4GAT1	2222	1345	845	1125	1438	1118
ENSG00000174695	TMEM167A	13070	8721	5517	8305	10340	7056
ENSG00000174697	LEP	0	1	0	0	0	1
ENSG00000174705	SH3PXD2B	1840	1094	633	1200	1416	907
ENSG00000174715	RP11-79L9.2	3	2	3	4	3	1
ENSG00000174718	KIAA1551	2556	1705	1081	1791	2213	1252
ENSG00000174720	LARP7	4131	2659	1744	2642	3178	2491
ENSG00000174721	FGFBP3	160	108	89	81	80	54
ENSG00000174738	NR1D2	3453	2193	1314	2137	2611	1547
ENSG00000174740	PABPC5	419	253	164	257	319	183
ENSG00000174744	BRMS1	1336	813	514	831	1124	855
ENSG00000174748	RPL15	22081	13149	7916	12525	16240	10206
ENSG00000174749	C4orf32	466	325	203	359	440	240
