id	sym	NKX2_positive_1	NKX2_positive_2	NKX2_positive_3	NKX2_negative_1	NKX2_negative_2	NKX2_negative_3
ENSMUSG00000027831	Veph1	658.92	562.3	1421.97	83.67	63.08	38.54
ENSMUSG00000027832	Ptx3	15	0	3	0	0	3
ENSMUSG00000027833	Shox2	0	0	0	1	0	0
ENSMUSG00000027834	Serpini1	13.13	12.61	23.81	22.67	19.4	3.15
ENSMUSG00000027835	Pdcd10	1165.24	966.34	1250.89	1072.36	1172.21	202
ENSMUSG00000027840	Wnt2b	0	0	2	0	0	0
ENSMUSG00000027843	Ptpn22	118.32	48.16	32.65	35.13	35.15	11.1
ENSMUSG00000027845	Dclre1b	266.11	265.45	205.42	230.37	191.34	47.63
ENSMUSG00000027848	Olfml3	199.73	51.17	46.47	38.19	12	7
ENSMUSG00000027849	Syt6	0	0	1	0	0	1
ENSMUSG00000027852	Nras	1942.3	1446.88	1519.32	1234.48	1369.45	240.66
ENSMUSG00000027854	Sike1	742.11	603.61	657.77	484.53	436.12	98.49
ENSMUSG00000027855	Sycp1	0	0	0	2	1	4.29
ENSMUSG00000027857	Tshb	17	12	15.37	7	14	5
ENSMUSG00000027858	Tspan2	1806.38	1896.98	1170.63	2502.82	2916.07	512.05
ENSMUSG00000027859	Ngf	32	8	4	10	16	0
ENSMUSG00000027860	Vangl1	342.92	156.68	201.16	551.01	507.43	99.16
ENSMUSG00000027861	Casq2	1	1	0	2.01	1	0
ENSMUSG00000027863	Cd2	587	27	37	9	1	5
ENSMUSG00000027864	Ptgfrn	5692.69	3409.73	4312.83	2970	3230.49	548.13
ENSMUSG00000027865	Gdap2	387	291.08	388	399.6	385.98	69
ENSMUSG00000027867	Spag17	51	6	29	0	0	1
ENSMUSG00000027868	Tbx15	4.01	1	0	0	1	1
ENSMUSG00000027869	Hsd3b6	0	0.99	0	1	0	1
ENSMUSG00000027870	Hao2	0	0	0	0	0	0
ENSMUSG00000027871	Hsd3b1	0	0	0	0	0	1
ENSMUSG00000027875	Hmgcs2	287	78	37	1408	556	181.77
ENSMUSG00000027876	Reg4	3	0	0	6	3	1
ENSMUSG00000027878	Notch2	3808.96	1530.24	1454.07	1558.81	1181.57	277.27
ENSMUSG00000027879	Sec22b	1061.07	1240.38	1395.92	781.36	784.84	209.69
ENSMUSG00000027880	Slc25a54	0	1	1	0	0	0
ENSMUSG00000027881	Prpf38b	923	900.99	907.99	1097	861.75	184
ENSMUSG00000027882	Stxbp3	1207.06	1140.03	1219	981.97	968	219.61
ENSMUSG00000027883	Gpsm2	318	139	296	419.01	445	71
ENSMUSG00000027884	Clcc1	731.38	659.2	789.39	539.2	607.57	137.06
ENSMUSG00000027886	1700013F07Rik	17	1	11	1	0	0
ENSMUSG00000027887	Sypl2	1	0	0	0	0	1
ENSMUSG00000027889	Ampd2	473	164	246	263	237	52
ENSMUSG00000027890	Gstm4	120.01	62.99	90	61	47	16
ENSMUSG00000027893	Ahcyl1	1448	1070	1133	1485.03	1185.2	246.29
ENSMUSG00000027894	Slc6a17	1	0	0	0	0	1
ENSMUSG00000027895	Kcnc4	3	0	0	0	0	0
ENSMUSG00000027896	Slc16a4	17	15	54	11	8	3
ENSMUSG00000027900	Dram2	2777.32	3932.51	3987.04	2281.79	2614.16	500.97
ENSMUSG00000027901	Dennd2d	1176.97	1496.31	1717.23	1096.19	1129	231
ENSMUSG00000027902	Chil6	3	12	5	1	3	2
ENSMUSG00000027905	Ddx20	435.61	427.25	479.06	299.81	310.85	65
ENSMUSG00000027907	S100a11	1121.88	712.18	712.5	1124	879.37	173.95
ENSMUSG00000027908	Tchhl1	0	0	1	0	0	0
ENSMUSG00000027912	Lce1m	0	0	0	0	0	0
ENSMUSG00000027913	Crct1	2	1	1	1	2	4
ENSMUSG00000027919	Lce1g	0	0	0	0	0	0
ENSMUSG00000027923	Lce1b	0	2	0	0	0	0
ENSMUSG00000027925	Sprr2j-ps	0	0	0	0	0	0
ENSMUSG00000027927	Lelp1	1	3	1	0	0	0
ENSMUSG00000027931	Npr1	1391	1187.98	1373	236	192	67
ENSMUSG00000027932	Slc27a3	34	9	11	9	14	5
ENSMUSG00000027933	Ints3	867	522	610	682	548	145.06
ENSMUSG00000027935	Rab13	171	187	197	155	182	27
ENSMUSG00000027936	Crtc2	164.63	83.53	79.41	139.42	111.43	28.31
ENSMUSG00000027937	Jtb	776	811	898	575	651	88
ENSMUSG00000027938	Creb3l4	29	19	32	253	176	29
ENSMUSG00000027939	Nup210l	43	25	65	24.87	17	2
ENSMUSG00000027940	Tpm3	9776.76	4873	5834.02	8605.75	9243.15	1555
ENSMUSG00000027942	4933434E20Rik	1134.42	1162.93	1252.06	859.4	909.01	184.21
ENSMUSG00000027944	Hax1	1081	775	1122	620.1	583	118
ENSMUSG00000027947	Il6ra	393.38	84.06	74.52	42.89	25.06	13.39
ENSMUSG00000027950	Chrnb2	14	16	16	18	14	1
ENSMUSG00000027951	Adar	926	455	442	815	852	169
ENSMUSG00000027952	Pmvk	1000.34	1289	912	478	520	71
ENSMUSG00000027953	Slc50a1	431	443	474.98	542	546.99	98
ENSMUSG00000027954	Efna1	1343.25	1160.38	822	555	610	117
ENSMUSG00000027955	Fam198b	476.8	66.55	66.71	41.73	26.36	8.79
ENSMUSG00000027956	Tmem144	112	85	132	56	37.98	4
ENSMUSG00000027957	Slc35a3	1304.08	1348.41	1550.71	3421.06	3652.79	580.75
ENSMUSG00000027959	Sass6	91.9	53.15	71.25	59.68	33.03	11.52
ENSMUSG00000027961	Lrrc39	26.4	5.04	4.91	5.31	1.87	1
ENSMUSG00000027962	Vcam1	678.29	289.72	439.05	1282.56	1145.79	120.32
ENSMUSG00000027963	Extl2	229	258	262	203	279	44
ENSMUSG00000027965	Olfm3	0	0	0	0	0	2
ENSMUSG00000027966	Col11a1	2	0	2.98	1	3.65	4.19
ENSMUSG00000027967	Neurog2	0	0	0	0	0	0
ENSMUSG00000027968	Larp7	414.56	293.51	403.5	358.47	309.16	57
ENSMUSG00000027971	Ndst4	33.11	47.31	45.29	46.09	27.19	36.45
ENSMUSG00000027973	1700006A11Rik	0	0	0	0	0	2
ENSMUSG00000027977	Ndst3	7.33	9.31	13.67	3.05	6.03	3.38
ENSMUSG00000027978	Prss12	14	1	2	2	0	2
ENSMUSG00000027981	Rnpc3	282.64	469.66	539.62	335.03	349.99	69.96
ENSMUSG00000027983	Cyp2u1	19.32	16.14	19.79	26.1	19.88	13.7
ENSMUSG00000027984	Hadh	1520.91	1517.74	1557.37	1727.95	1786.31	328.88
ENSMUSG00000027985	Lef1	46.23	15.22	12.01	11.02	2.88	4.5
ENSMUSG00000027993	Trim2	454.14	438.12	677.44	877.6	903.39	223.22
ENSMUSG00000027994	Ccdc109b	75	11	21	26	22	3
ENSMUSG00000027995	Tlr2	3410	201	255	374	74	38
ENSMUSG00000027996	Sfrp2	1	1	0	0	0	0
ENSMUSG00000027997	Casp6	216.04	168.18	263.01	387.07	449.77	83.2
ENSMUSG00000027998	Plrg1	914.91	818.23	922.42	623.72	613.1	141.05
ENSMUSG00000027999	Pla2g12a	182.99	171.72	165	219	222.25	24
ENSMUSG00000028001	Fga	0	10	4	0	8	1
ENSMUSG00000028003	Lrat	36.82	7.05	16.96	33.15	12.88	1.01
ENSMUSG00000028004	Npy2r	0	6	0	0	0	2
ENSMUSG00000028005	Gucy1b3	104	13	28	8	12	0
ENSMUSG00000028007	Snx7	3269.44	4525.13	5193.9	1526.76	1478.49	291.56
ENSMUSG00000028008	Asic5	0	0	0	0	0	0
ENSMUSG00000028009	1700061I17Rik	1	0	0	0	0	0
ENSMUSG00000028010	Gar1	69	13	48	77	57	14
ENSMUSG00000028011	Tdo2	4	9	1	5	4	0
ENSMUSG00000028012	Rrh	10.51	7.49	4.19	3.28	4.73	0.66
ENSMUSG00000028013	Ppa2	975	1218	1227	1219	1342	244
ENSMUSG00000028015	Ctso	651	370	494	509.85	567	103
ENSMUSG00000028016	Ints12	499.18	351	414	355	330.96	77
ENSMUSG00000028017	Egf	10.74	10.34	12.05	8.96	17.02	8.06
ENSMUSG00000028018	Gstcd	313.99	181.96	213	212	200	48
ENSMUSG00000028019	Pdgfc	178	15	8	297	271.47	63
ENSMUSG00000028020	Glrb	7.03	10.53	8.98	4.7	14.92	8.89
ENSMUSG00000028023	Pitx2	0	0	0	1	3	0
ENSMUSG00000028024	Enpep	5884.79	5454.01	13195.7	1042.99	852	367
ENSMUSG00000028028	Alpk1	700.87	1031.38	626.23	645.08	628.29	108.33
ENSMUSG00000028029	Aimp1	631.98	443	595.02	675	776.85	143
ENSMUSG00000028030	Tbck	808.63	711.78	677.72	929.31	995.56	182.17
ENSMUSG00000028031	Dkk2	21	12.76	7.8	9.21	4.51	3
ENSMUSG00000028032	Papss1	1135.09	759.8	1169.58	1585.88	1889.26	294.48
ENSMUSG00000028033	Kcnq5	15.8	16.23	13.62	12.32	7.44	11.14
ENSMUSG00000028034	Fubp1	1641.97	1967.44	2247.08	1761.46	1474.6	297.24
ENSMUSG00000028035	Dnajb4	2889.92	3715.74	3777.07	1473.27	1119.11	212.62
ENSMUSG00000028036	Ptgfr	16.99	32.03	27.24	3.94	3.04	3.94
ENSMUSG00000028037	Ifi44	21.09	13.14	30.46	42.08	22.22	5.09
ENSMUSG00000028039	Efna3	19	28	21	12	10	3
ENSMUSG00000028040	Efna4	89.05	52	82	67	77	4
ENSMUSG00000028041	Adam15	692.71	231.73	269.53	415.02	447.32	65.97
ENSMUSG00000028042	Zbtb7b	1007.84	476.07	488	1770.94	2272.85	289
ENSMUSG00000028044	Cks1b	193	155	261	86	93	16
ENSMUSG00000028047	Thbs3	1128	682.85	882	241	184	46
ENSMUSG00000028048	Gba	1549	675	706	682	810	122
ENSMUSG00000028049	Scamp3	248	158	213	198	173	50
ENSMUSG00000028051	Hcn3	11	1	7	1	1	3
ENSMUSG00000028053	Ash1l	3689.75	3615.34	3327.56	3098.67	2558.33	605.24
ENSMUSG00000028057	Rit1	544.43	362	399.58	545	503.4	111
ENSMUSG00000028059	Arhgef2	3785.34	2034.1	2411.67	979.17	1061.77	197.24
ENSMUSG00000028060	2810403A07Rik	1785.72	1626.12	1545.57	2091.54	1627.22	319.58
ENSMUSG00000028062	Lamtor2	309	308	302	470	523	87
ENSMUSG00000028063	Lmna	8537.28	1805.36	2076.48	4235.26	4017.8	597.68
ENSMUSG00000028064	Sema4a	1363.45	974.97	811.82	1662.97	1787.33	298.44
ENSMUSG00000028066	Pmf1	173.52	126.08	142.95	133.14	133.1	26.31
ENSMUSG00000028068	Iqgap3	205.91	33.98	141.27	120.59	121.23	20.84
ENSMUSG00000028069	Gpatch4	151	135	146.24	179	183	26
ENSMUSG00000028070	Apoa1bp	1518	1806.18	1780.22	971.22	1162	180
ENSMUSG00000028071	Sh2d2a	33.62	24.96	16.39	17.01	8.82	0
ENSMUSG00000028072	Ntrk1	0	0	0	0	0	0
ENSMUSG00000028073	Pear1	88.63	12	22.02	1167.92	1238.52	168.09
ENSMUSG00000028076	Cd1d1	181.66	16.83	6.27	15	15.75	7.99
ENSMUSG00000028078	Dclk2	8	0	1	2	0	1
ENSMUSG00000028080	Lrba	3676.3	3089.33	3392.03	4081.97	4032.72	736.89
ENSMUSG00000028081	Rps3a1	5786.43	4612.93	6414.42	5947.83	5761.74	881.74
ENSMUSG00000028082	Sh3d19	3521.76	2205.39	2291.99	2953.83	2589.48	617
ENSMUSG00000028085	Gatb	200	196	190.93	191	224	44
ENSMUSG00000028086	Fbxw7	702	426.13	356.14	850.15	752.37	128
ENSMUSG00000028088	Fmo5	81.64	81.67	47.83	183.45	288.13	59.61
ENSMUSG00000028089	Chd1l	328.21	273	347.85	275.98	323	84
ENSMUSG00000028093	Acp6	226.14	232.55	296.94	252.67	243.94	38.03
ENSMUSG00000028096	Gpr89	604	503	619.05	497.98	544.9	77.47
ENSMUSG00000028098	Rnf115	1221	1053	1135	884	862	153
ENSMUSG00000028099	Polr3c	338.89	199.73	187.68	408.09	385.7	66.34
ENSMUSG00000028100	Nudt17	19	15	14	43	43	8
ENSMUSG00000028101	Pias3	211	99	124	209	198	29
ENSMUSG00000028102	Pex11b	333.63	283.38	292.82	195.45	246	34.77
ENSMUSG00000028104	Polr3gl	156.28	158.39	145.68	131.03	120.63	30.55
ENSMUSG00000028106	Rprd2	837.09	770.51	656.02	617.01	579.07	170.01
ENSMUSG00000028107	Tars2	473.48	299.42	342.36	445.59	428.66	67.13
ENSMUSG00000028108	Ecm1	301.49	43	61	134.4	78	23
ENSMUSG00000028109	Hormad1	0	0	1	0	0	0
ENSMUSG00000028111	Ctsk	4269.75	585	178	243	15	38
ENSMUSG00000028114	Mettl14	177.48	138.86	157.46	189.65	162.93	54.95
ENSMUSG00000028115	Bnipl	279.5	262.41	367.17	409.83	395.74	81.22
ENSMUSG00000028116	Myoz2	5.92	12.24	11.79	9.15	21.26	18.5
ENSMUSG00000028121	Bcar3	1674.03	439.18	354.22	1597.28	2246.73	244.46
ENSMUSG00000028124	Gclm	682.04	373.29	377.85	1215.54	1249.99	202.5
ENSMUSG00000028125	Abca4	55.73	44.19	42.46	16.62	20.15	11.52
ENSMUSG00000028126	Pip5k1a	923.16	536.1	598.7	696.03	561.11	83
ENSMUSG00000028127	Abcd3	5077.63	6294.02	6203.92	4833.11	5277.67	911.18
ENSMUSG00000028128	F3	4218	1924.99	1457.04	4657.86	4721.3	476
ENSMUSG00000028132	Tmem56	935.67	2398.95	1826.02	459.31	420	91
ENSMUSG00000028133	Rwdd3	40	118	91	50	30.01	14
ENSMUSG00000028134	Ptbp2	665.68	767.71	746.53	440.98	562	113.26
ENSMUSG00000028136	Snx27	1541.38	935.02	853.01	811.79	763.02	137
ENSMUSG00000028137	Celf3	0.76	2.44	0.92	7	9	3
ENSMUSG00000028138	Adh5	1339.35	1193.31	1283.75	1036.24	1115	199
ENSMUSG00000028139	Riiad1	36	8	20	4	6	1
ENSMUSG00000028140	Mrpl9	388.32	360.4	399.09	828.98	887.02	135.13
ENSMUSG00000028141	Oaz3	16.69	17.97	11.3	6.74	7.26	5.93
ENSMUSG00000028145	Them4	58	57.38	54.06	108.29	99.04	29
ENSMUSG00000028148	Them5	12	34.01	26	6	6	1
ENSMUSG00000028149	Rap1gds1	960	547	559	798.07	750	129.86
ENSMUSG00000028150	Rorc	150	172	103	314	292	50
ENSMUSG00000028152	Tspan5	532	86	100	70	65	31
ENSMUSG00000028156	Eif4e	1156.76	828.25	1186.92	799.15	675.07	155.96
ENSMUSG00000028158	Mttp	104	97	123	74	80	13
ENSMUSG00000028159	Dapp1	551.97	264.56	346.04	756	621	150
ENSMUSG00000028161	Ppp3ca	4116.02	2730.25	2998.78	1958.37	1929.68	412
ENSMUSG00000028163	Nfkb1	2639.65	1418.05	1588.27	1797.51	1444.32	276.17
ENSMUSG00000028164	Manba	999.58	378.23	413.93	1324.07	1603.27	258.95
ENSMUSG00000028165	Cisd2	853.04	726	766.99	808.5	823.71	139.89
ENSMUSG00000028167	Bdh2	15	12	31.12	4	3.63	2.6
ENSMUSG00000028172	Tacr3	0	0	0	0	0	1
ENSMUSG00000028173	Wls	6641.59	7277.98	9356.7	3642.24	3419.37	703.33
ENSMUSG00000028174	Rpe65	0	0	0	0	0	0
ENSMUSG00000028175	Depdc1a	77	6	96	45	43	9
ENSMUSG00000028176	Lrrc7	3.02	0.92	3.31	0.36	0	0
ENSMUSG00000028177	1810013D15Rik	16.22	20.48	23.14	15.09	9.57	6.17
ENSMUSG00000028179	Cth	480	739	821.03	91	108	16
ENSMUSG00000028180	Zranb2	911.98	1044.89	1254.11	752.01	725.01	139
ENSMUSG00000028182	Lrriq3	8	36.46	13	7	16	5
ENSMUSG00000028184	Adgrl2	1256	422.2	483	1821.72	1863	382
ENSMUSG00000028185	Dnase2b	3	0	0	0	0	2
ENSMUSG00000028186	Uox	2.91	8.14	10.07	13.13	13.73	8.97
ENSMUSG00000028187	Rpf1	768.97	856	956.86	620.24	618.05	131
ENSMUSG00000028188	Spata1	77.34	98.06	79.8	52.59	63.89	22.3
ENSMUSG00000028189	Ctbs	550.39	496	551.53	377.05	436.14	71
ENSMUSG00000028191	Bcl10	986.94	548.81	642.99	876.01	703	118
ENSMUSG00000028194	Ddah1	39	8	8	42	25	7.13
ENSMUSG00000028195	Cyr61	4209.02	2533.75	4200.13	5216.81	4246.92	548.97
ENSMUSG00000028197	Col24a1	6	1	2	0	2	2
ENSMUSG00000028199	Cryz	148	118	153	234	298	41
ENSMUSG00000028207	Asph	1966.01	1085.7	1583.23	4171.65	4163.46	842.54
ENSMUSG00000028211	Trp53inp1	5056.99	5046.07	5738.68	2508.99	2673	334.6
ENSMUSG00000028212	Ccne2	149	57	183	58	37	9
ENSMUSG00000028214	Gem	2696.95	2449.14	3902.16	705	672.92	172
ENSMUSG00000028217	Cdh17	44.75	41.53	32.69	374.87	739.55	17.23
ENSMUSG00000028218	Fam92a	271.31	244.33	391.17	104.33	136.8	26.07
ENSMUSG00000028221	Tmem55a	499	434	525	468	527	80
ENSMUSG00000028222	Calb1	1.18	0	0	1.35	0	0
ENSMUSG00000028223	Decr1	838	847	1009.18	759	764	148
ENSMUSG00000028224	Nbn	657	549	689	533.04	480	92
ENSMUSG00000028226	Mmp16	2.22	3.22	5.67	0	0	5.28
ENSMUSG00000028228	Cpne3	3861.32	3552.21	4498.62	3557.97	3532.89	761.59
ENSMUSG00000028229	Rmdn1	162.03	207.28	213.34	145.32	151.45	45.25
ENSMUSG00000028232	Tmem68	458.26	419	475.06	345	330.02	47
ENSMUSG00000028233	Tgs1	382.57	316	304.37	199	169.57	59
ENSMUSG00000028234	Rps20	4842.37	3916.46	5374.61	5965.72	5947.62	870.62
ENSMUSG00000028236	Sdr16c5	0	0	0	0	0	0
ENSMUSG00000028238	Atp6v0d2	7628.55	625.7	275.97	833.09	464.91	277.94
ENSMUSG00000028240	Cyp7a1	4.18	2.14	1.04	0	3.98	2
ENSMUSG00000028243	Ubxn2b	187.57	174.14	272.39	180.7	186.03	35.92
ENSMUSG00000028244	1700025O08Rik	0	0	0	0	0	0
ENSMUSG00000028245	Nsmaf	1565.37	1816.44	1867.37	892.75	811.45	191.51
ENSMUSG00000028246	Faxc	4	1	0	2	2	5.01
ENSMUSG00000028247	Coq3	225.01	128	150	92.06	100.02	14
ENSMUSG00000028248	Pnisr	1089.43	2004.92	1853.1	1294.96	1203.31	248.46
ENSMUSG00000028249	Sdcbp	14759.55	7135.58	9121.47	11720	11549.76	2052.91
ENSMUSG00000028251	Tstd3	129.61	51.35	91.84	68.26	67.24	9.69
ENSMUSG00000028252	Ccnc	661.98	669.05	741	440.08	524.25	92.54
ENSMUSG00000028255	Clca1	21	6	20	13888.62	32459.91	6722.27
ENSMUSG00000028256	Odf2l	366.03	334.14	423.01	1185.57	1426.13	341
ENSMUSG00000028259	Fhl5	4	1	0	0	1	0
ENSMUSG00000028261	Ndufaf4	265	240.59	336.74	226.76	230	48
ENSMUSG00000028262	Clca3a2	0	6.35	0	468.57	370.23	30.3
ENSMUSG00000028264	Spaca1	0	0	0	0	0	0
ENSMUSG00000028266	Lmo4	1775.03	1094.38	1353.07	1610.61	1455.98	440.06
ENSMUSG00000028268	Gbp3	117.68	34.8	39.21	98.6	110.39	37.64
ENSMUSG00000028270	Gbp2	292.04	115.57	151.57	362.7	528	118.92
ENSMUSG00000028271	Gtf2b	1177.03	937.91	1167.37	634.97	719.12	155.98
ENSMUSG00000028273	Pdlim5	1833	814	1009	4593.91	4692	1011.01
ENSMUSG00000028274	Rngtt	409.6	384.45	476.28	480.71	386.34	77.62
ENSMUSG00000028277	Ube2j1	1515	1047.01	1308	1094.99	1021	215
ENSMUSG00000028278	Rragd	318.14	373.72	397.17	157.98	118.65	38.1
ENSMUSG00000028280	Gabrr1	0	0	0	0	0	0
ENSMUSG00000028282	Casp8ap2	829.77	763	822	584	513.16	128.98
ENSMUSG00000028284	Map3k7	1486.1	1280.28	1310.56	916.19	748.44	154.02
ENSMUSG00000028287	1700009N14Rik	2	0	0	0	0	0
ENSMUSG00000028289	Epha7	774.05	1185.9	1998.55	373.19	358.06	76.79
ENSMUSG00000028291	Akirin2	698	357	439	524.06	515	120
ENSMUSG00000028292	Rars2	386	442	538	367	426	83
ENSMUSG00000028293	Slc35a1	446.03	540	790.28	814.09	990	189
ENSMUSG00000028294	Cfap206	120	17	65	1	2	1
ENSMUSG00000028295	Smim8	102	130	129	138	166	24
ENSMUSG00000028298	Cga	0	0	0	0	0	0
ENSMUSG00000028300	3110043O21Rik	527	315	312.03	283	240	41
ENSMUSG00000028307	Aldob	0	0	0	583	780	123
ENSMUSG00000028309	Rnf20	2702.2	3052.88	3555.34	1610.99	1521	301
ENSMUSG00000028310	Ppp3r2	16	13	12	0	0	0
ENSMUSG00000028312	Smc2	484	152	564	296	275	68
ENSMUSG00000028314	Toporsl	0	0	0	0	0	0
ENSMUSG00000028318	Polr1e	101.85	88.72	90.76	131.19	113.25	13.92
ENSMUSG00000028322	Exosc3	253	168	209	250	264	44
ENSMUSG00000028327	Stra6l	397.85	98.36	65.07	68.16	69.18	22.38
ENSMUSG00000028328	Tmod1	337.15	222.12	171.28	30	36.75	6.03
ENSMUSG00000028329	Xpa	144	132	117.31	199	234	57.5
ENSMUSG00000028330	Ncbp1	734	557.01	701	483	494	103
ENSMUSG00000028331	Trmo	128	120.06	143.32	129.23	82.19	22.72
ENSMUSG00000028332	Hemgn	0	0	0	2.77	1	1.19
ENSMUSG00000028333	Anp32b	303	155	176.02	260.91	247.25	45
ENSMUSG00000028334	Nans	784	420	635.23	786	987	120.03
ENSMUSG00000028337	Coro2a	917.4	114.21	108.65	6536.08	7957.05	978
ENSMUSG00000028339	Col15a1	576	329	222	99.01	82	14
ENSMUSG00000028341	Nr4a3	1599	588.05	1070.84	447.01	301	29.05
ENSMUSG00000028343	Erp44	1526.6	1477.06	1845.74	1973	2153	360.98
ENSMUSG00000028344	Invs	338.88	357.43	327.18	380.09	359.17	58.32
ENSMUSG00000028345	Tex10	523	544	555	636	520	90
ENSMUSG00000028347	Tmeff1	140	101	163	16	22	3
ENSMUSG00000028348	Murc	4	2	9	0	0	0
ENSMUSG00000028351	Brinp1	9	4	1	0	0	4
ENSMUSG00000028354	Fmn2	0	0	0	0	0	3
ENSMUSG00000028356	Ambp	11	4	5	8773.89	11994.92	1769.5
ENSMUSG00000028357	Kif12	0	1	0	193	177	23
ENSMUSG00000028358	Zfp618	142.05	122.05	124.39	495.67	467.43	76.2
ENSMUSG00000028359	Orm3	15.31	33.59	1.07	33.29	34.81	3
ENSMUSG00000028360	Slc44a5	0	0	0	0	0	0
ENSMUSG00000028362	Tnfsf8	12	8	3	3	2	0
ENSMUSG00000028364	Tnc	279	33	56	66	4	6
ENSMUSG00000028367	Txn1	3900	2092.15	2823	2568	2580.98	398.99
ENSMUSG00000028369	Svep1	253.99	65.2	65.59	66.43	39.08	36.16
ENSMUSG00000028370	Pappa	12	5	3	1	0	8
ENSMUSG00000028373	Astn2	33	1.01	4.28	3.94	5.22	1
ENSMUSG00000028378	Ptgr1	2019.13	2059.11	3088.22	3692.62	4475.99	653.67
ENSMUSG00000028381	Ugcg	2087.52	1061.56	1141.66	3072.49	2871.83	353.71
ENSMUSG00000028382	Ptbp3	6933.01	4290.33	4989.76	6756.15	7516.05	1574.02
ENSMUSG00000028383	Hsdl2	486	358	400	908	853	195
ENSMUSG00000028385	Snx30	1907.94	1619.22	1427.85	811.97	612.34	143.55
ENSMUSG00000028386	Slc46a2	1	0	0	0	0	1
ENSMUSG00000028389	Zfp37	218.03	132.64	133.59	211.71	236	57.95
ENSMUSG00000028391	Wdr31	314.38	371.43	400.23	239.28	216.44	121.94
ENSMUSG00000028392	Bspry	653.98	363	452	908	1097	147
ENSMUSG00000028393	Alad	968	952	892	645	692	106
ENSMUSG00000028394	Pole3	549	471.71	557	379	435	101.85
ENSMUSG00000028396	2310002L09Rik	0	0	0	0	0	0
ENSMUSG00000028397	Kdm4c	1107	1026.87	1012	850.06	762.17	163
ENSMUSG00000028398	Tmem261	160	115	160	134	122	25
ENSMUSG00000028399	Ptprd	72	15	22	367	347.01	53
ENSMUSG00000028402	Mpdz	44	8	13	7	5	3
ENSMUSG00000028403	Zdhhc21	1063.9	901.3	1088.77	1046.65	980.98	447.69
ENSMUSG00000028405	Aco1	3938	2869.93	2982	2002.17	1990	376
ENSMUSG00000028407	Toporsos	74.65	91.05	99.57	82.98	93.63	15.34
ENSMUSG00000028409	Smu1	1641	1442.85	1709.92	1798.09	1965.14	354.98
ENSMUSG00000028410	Dnaja1	6773.41	18540.28	9354.43	7402.83	5042.78	1019.04
ENSMUSG00000028411	Aptx	259.44	273.09	271.15	141.13	144.15	29
ENSMUSG00000028412	Slc44a1	1905.31	1726.39	1897.09	4317.43	4768.23	936
ENSMUSG00000028413	B4galt1	2710.24	1388.61	1293.4	2142.16	2121.07	350
ENSMUSG00000028414	Fktn	466.22	537.41	627.69	317.71	277.57	54.78
ENSMUSG00000028415	Spink4	2	0	0	1210	856.99	292
ENSMUSG00000028416	Bag1	3161.53	3031.02	3099	6039.42	6613	1134.31
ENSMUSG00000028417	Tal2	9	13	10	5.99	9	2
ENSMUSG00000028419	Chmp5	1927.98	1908.63	2239.92	2090.26	2492.51	356
ENSMUSG00000028420	Tmem38b	701.65	721.56	534.96	279.23	274.49	71.73
ENSMUSG00000028423	Nfx1	1866.7	1485.67	1438.74	1766.32	1617.82	330.48
ENSMUSG00000028426	Rad23b	2553	1661	1819.02	2668.01	2746.36	450.46
ENSMUSG00000028427	Aqp7	0	5.46	2.94	1.06	3.77	1.77
ENSMUSG00000028430	Nol6	607	254.01	224.04	454	460	91
ENSMUSG00000028431	Ikbkap	1133.2	1016.09	929.37	602.83	522.96	122.13
ENSMUSG00000028433	Ubap2	468.04	269	241	363.23	342	64.81
ENSMUSG00000028434	Epb41l4b	1086	547	613	4349	4970.11	1068
ENSMUSG00000028435	Aqp3	40.9	14.57	17.78	1033.13	1233.71	113.06
ENSMUSG00000028436	Dcaf12	841.17	447	514	784.39	811.03	162
ENSMUSG00000028437	Ubap1	943.79	512.02	570	1129.61	974.42	162.06
ENSMUSG00000028438	Kif24	156.73	186.53	197.09	131.56	126.8	37.6
ENSMUSG00000028439	Fam219a	105	34	20.01	40	28.43	10.16
ENSMUSG00000028441	1110017D15Rik	40	6.05	20	2	1	0
ENSMUSG00000028443	Nudt2	205	166	246	150	183	34
ENSMUSG00000028444	Cntfr	6	4	3	1	0	0
ENSMUSG00000028445	Enho	22	2	5	1	1	0
ENSMUSG00000028447	Dctn3	622	512	611.25	546	609	102
ENSMUSG00000028451	1700022I11Rik	4.02	1	5	0.99	0	1
ENSMUSG00000028452	Vcp	9281.88	5674.01	7266.44	6773.34	6299.71	1068
ENSMUSG00000028453	Fancg	89	38	50	47	56	12
ENSMUSG00000028454	Pigo	253	143	126	258	284	41
ENSMUSG00000028455	Stoml2	594	513	558	603	658	103
ENSMUSG00000028456	Unc13b	2099.32	1952.82	2126.07	1488.15	1708.16	314.74
ENSMUSG00000028457	Atp8b5	9	11.07	5.65	9.14	5.06	3.15
ENSMUSG00000028458	Tesk1	754	294	291	491	483	90
ENSMUSG00000028459	Cd72	35	13	10	13	4	2
ENSMUSG00000028460	Sit1	6	4	1	2	0	1
ENSMUSG00000028461	Ccdc107	314.6	349	432.91	381	373	91
ENSMUSG00000028463	Car9	39.01	4.04	18.64	1249	1453.81	143.12
ENSMUSG00000028464	Tpm2	248.8	32	59	530.27	745.12	126
ENSMUSG00000028465	Tln1	7645.89	2477	2552.07	2591.15	2313.87	472
ENSMUSG00000028466	Creb3	985	899	1015	856	969.71	167
